URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,0.574391892,0.425608108,0.148783784,0.402992814,26.30882353,7.210732253,13.40782231,26.30882353,129,1789,1.629401901,22,4.6215763
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,0.545715312,0.454284688,0.091430624,0.520504926,35.68,7.847533632,17.41101345,35.68,70,892,1.686098655,12,4.761210762
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,0.539168118,0.460831882,0.078336237,0.424785134,47.33333333,5.211267606,21.01784038,47.33333333,74,1420,1.561267606,26,4.419014085
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,0.564479497,0.435520503,0.128958995,0.420498677,27.65217391,6.603773585,13.702379,27.65217391,84,1272,1.671383648,15,4.703616352
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,0.545986384,0.454013616,0.091972768,0.445159537,29.93103448,4.953917051,13.95398061,29.93103448,86,1736,1.533410138,45,4.338133641
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,0.550763963,0.449236037,0.101527926,0.421555958,34.45454545,7.7176781,16.86888942,34.45454545,117,1516,1.651055409,27,4.802110818
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.566866782,0.433133218,0.133733565,0.457691995,28.2125,8.994240142,14.88269606,28.2125,203,2257,1.785556048,15,5.11120957
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.53821077,0.46178923,0.076421541,0.428549347,22.32941176,6.533192835,11.54504184,22.32941176,124,1898,1.550052687,35,4.350368809
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.555123011,0.444876989,0.110246023,0.477821642,24.1,9.405255878,13.40210235,24.1,204,2169,1.742738589,21,4.874135546
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.570738925,0.429261075,0.14147785,0.489474282,20.96907216,5.948869223,10.76717656,20.96907216,121,2034,1.566863324,40,4.457227139
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.528665665,0.471334335,0.057331329,0.501864248,26.73170732,6.523722628,13.30217198,26.73170732,143,2192,1.610857664,49,4.593978102
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.557278645,0.442721355,0.114557291,0.445427206,27.55737705,6.960142772,13.80700793,27.55737705,117,1681,1.586555622,63,4.505056514
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.569959387,0.430040613,0.139918775,0.416695547,21.98,6.278434941,11.30337398,21.98,69,1099,1.636032757,23,4.590536852
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.587246305,0.412753695,0.17449261,0.538649629,25.7804878,3.973509934,11.9015991,25.7804878,42,1057,1.537369915,34,4.448438978
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.581854634,0.418145366,0.163709268,0.522577086,31.06976744,7.185628743,15.30215847,31.06976744,192,2672,1.623502994,62,4.527694611
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.558912502,0.441087498,0.117825003,0.459476063,26.22105263,5.459654757,12.67228296,26.22105263,136,2491,1.60417503,115,4.43596949
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.55888244,0.44111756,0.117764881,0.418979347,24.77777778,9.224855862,13.60105346,24.77777778,144,1561,1.730941704,31,4.97309417
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.55123446,0.44876554,0.10246892,0.374297717,19.38372093,6.538692262,10.36896528,19.38372093,109,1667,1.599880024,21,4.49730054
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.577782474,0.422217526,0.155564948,0.389935461,31.10606061,7.306380906,15.3649766,31.10606061,150,2053,1.586945933,66,4.53433999
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.530953698,0.469046302,0.061907395,0.457892928,23.77647059,8.114794656,12.7565061,23.77647059,164,2021,1.632855022,38,4.604156358
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0.577920475,0.422079525,0.155840949,0.495622094,30.59259259,8.595641646,15.6752937,30.59259259,71,826,1.725181598,8,4.886198547
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0.5646416,0.4353584,0.1292832,0.494334252,153.5,6.700791066,64.08031643,153.5,144,2149,1.561191252,56,4.604932527
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0.600455569,0.399544431,0.200911138,0.414196502,22.18,5.770964833,11.18038593,22.18,64,1109,1.637511271,35,4.642019838
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0.544191425,0.455808575,0.08838285,0.350561881,23.68888889,10.41275797,13.64065875,23.68888889,111,1066,1.746716698,9,4.842401501
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.552077367,0.447922633,0.104154734,0.371171051,38.75,9.677419355,19.37096774,38.75,45,465,1.737634409,8,4.767741935
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0.523867815,0.476132185,0.04773563,0.393204787,29.78333333,6.2115277,14.39794441,29.78333333,111,1787,1.636821489,23,4.701734751
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0.572628413,0.427371587,0.145256827,0.405609668,31.32352941,7.230046948,15.42143054,31.32352941,77,1065,1.649765258,14,4.600938967
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0.59521245,0.40478755,0.1904249,0.469373658,20.96491228,6.652719665,11.04705278,20.96491228,159,2390,1.568200837,43,4.444769874
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,0.620940171,0.379059829,0.241880342,0.482879528,20.875,7.185628743,11.2242515,20.875,72,1002,1.664670659,20,4.637724551
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,0.561819728,0.438180272,0.123639456,0.419954649,32,6.101190476,15.24047619,32,41,672,1.59672619,14,4.633928571
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,0.578729723,0.421270277,0.157459447,0.454825347,30.05128205,5.802047782,14.34133193,30.05128205,68,1172,1.561433447,31,4.453071672
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,0.556987788,0.443012212,0.113975577,0.393173742,33.29166667,8.385481852,16.67085941,33.29166667,67,799,1.70212766,10,4.712140175
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,0.594563923,0.405436077,0.189127847,0.473928571,21.6875,8.501440922,12.07557637,21.6875,59,694,1.634005764,15,4.672910663
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,0.530469755,0.469530245,0.060939511,0.312387387,28.86666667,10.3926097,15.70371055,28.86666667,45,433,1.748267898,6,4.815242494
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,0.528093232,0.471906768,0.056186463,0.467067951,20.05,5.153782211,10.08151288,20.05,62,1203,1.517871987,99,4.277639235
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,0.609704586,0.390295414,0.219409171,0.421322751,32.78571429,6.97167756,15.90295674,32.78571429,32,459,1.62962963,11,4.562091503
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,0.539752097,0.460247903,0.079504194,0.397075216,28.25,8.062930187,14.52517207,28.25,82,1017,1.742379548,20,5.005899705
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,0.541881641,0.458118359,0.083763282,0.434817001,42.8,6.775700935,19.83028037,42.8,29,428,1.61682243,13,4.551401869
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,0.523989087,0.476010913,0.047978175,0.540146825,25,6.962962963,12.78518519,25,47,675,1.585185185,31,4.48
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,0.544287594,0.455712406,0.088575188,0.402660401,28.24050633,7.57507844,14.32623391,28.24050633,169,2231,1.684446437,47,4.776333483
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,0.560804845,0.439195155,0.121609691,0.490810294,29.18918919,5.648148148,13.93493493,29.18918919,122,2160,1.526851852,46,4.457407407
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,0.533289627,0.466710373,0.066579254,0.394209957,22.22988506,5.687693899,11.16703158,22.22988506,110,1934,1.540847983,48,4.386763185
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,0.582745726,0.417254274,0.165491453,0.466981309,18.37313433,6.092607636,9.786296786,18.37313433,75,1231,1.533712429,72,4.233956133
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,0.600739628,0.399260372,0.201479255,0.426644272,26.8,4.104477612,12.36179104,26.8,77,1876,1.469083156,67,4.169509595
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,0.611850649,0.388149351,0.223701299,0.483409091,39.25,5.987261146,18.09490446,39.25,47,785,1.561783439,28,4.407643312
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,0.556517524,0.443482476,0.113035048,0.451121853,27.72972973,8.235867446,14.38623887,27.72972973,169,2052,1.65497076,16,4.674463938
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,0.540550505,0.459449495,0.08110101,0.552820346,17.44444444,5.378627035,9.129228592,17.44444444,76,1413,1.518046709,91,4.290870488
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,0.629880374,0.370119626,0.259760749,0.605443828,18.85882353,3.742981909,9.040722175,18.85882353,60,1603,1.474734872,99,4.220212102
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,0.559901735,0.440098265,0.119803469,0.45163777,28.89583333,3.677000721,13.02913362,28.89583333,51,1387,1.530641673,19,4.491708724
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,0.546650433,0.453349567,0.093300866,0.358831415,23.10769231,8.588548602,12.67849636,23.10769231,129,1502,1.693075899,31,4.688415446
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,0.541830918,0.458169082,0.083661836,0.538349896,18.43589744,5.424200278,9.544039086,18.43589744,78,1438,1.525730181,90,4.318497914
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,0.524257557,0.475742443,0.048515114,0.460806823,29.79411765,6.811451135,14.64222751,29.79411765,69,1013,1.583415597,22,4.487660415
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,0.521468254,0.478531746,0.042936508,0.380145648,39.13333333,6.984667802,18.44720045,39.13333333,41,587,1.62350937,9,4.589437819
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,0.54635152,0.45364848,0.09270304,0.388719614,37.24137931,7.12962963,17.74840358,37.24137931,77,1080,1.687962963,12,4.803703704
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,0.529713389,0.470286611,0.059426778,0.418762997,26.86885246,4.575960952,12.57792536,26.86885246,75,1639,1.591214155,35,4.603416718
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,0.526798431,0.473201569,0.053596861,0.333100941,21.17,3.708077468,9.951230987,21.17,157,4234,1.538970241,8,4.381672178
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,0.514786108,0.485213892,0.029572216,0.457671005,24.73863636,6.017455214,12.30243663,24.73863636,131,2177,1.609095085,45,4.619200735
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,0.513249341,0.486750659,0.026498682,0.372902046,29.875,8.472803347,15.33912134,29.875,162,1912,1.753661088,12,4.942468619
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,0.588877615,0.411122385,0.177755231,0.39934614,38.27272727,7.125890736,18.1594472,38.27272727,30,421,1.610451306,14,4.498812352
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,0.584307097,0.415692903,0.168614193,0.471295654,28.54545455,5.095541401,13.45639838,28.54545455,64,1256,1.525477707,43,4.39410828
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,0.554070999,0.445929001,0.108141999,0.42725469,18.232,6.318560772,9.820224309,18.232,144,2279,1.558139535,39,4.531373409
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,0.577917589,0.422082411,0.155835177,0.435069566,22.63541667,5.062126093,11.0790171,22.63541667,110,2173,1.574781408,39,4.495167971
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,0.547189683,0.452810317,0.094379367,0.43485892,28.33333333,6.020761246,13.74163783,28.33333333,87,1445,1.597923875,35,4.592387543
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,0.518509425,0.481490575,0.037018849,0.417275368,33.15384615,7.703016241,16.34274496,33.15384615,166,2155,1.716937355,8,4.831554524
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,0.541296835,0.458703165,0.082593669,0.431034515,25.59615385,6.311044328,12.76287927,25.59615385,84,1331,1.631104433,19,4.616829452
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,0.555844316,0.444155684,0.111688632,0.445171236,20.53846154,5.742821473,10.5125132,20.53846154,92,1602,1.558052434,61,4.466292135
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,0.539258728,0.460741272,0.078517457,0.427494532,34.07142857,7.686932215,16.70334431,34.07142857,110,1431,1.65408805,30,4.720475192
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,0.540117839,0.459882161,0.080235678,0.336114044,26.98333333,8.153180976,14.05460572,26.98333333,132,1619,1.681902409,10,4.69857937
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,0.595967682,0.404032318,0.191935363,0.406355426,33.42857143,6.623931624,16.02100122,33.42857143,31,468,1.587606838,14,4.450854701
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,0.537793151,0.462206849,0.075586302,0.435422376,22.67647059,5.382619974,11.22363622,22.67647059,83,1542,1.56614786,74,4.435797665
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,0.531381273,0.468618727,0.062762546,0.401390546,24.65,6.288032454,12.37521298,24.65,62,986,1.622718053,15,4.548681542
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,0.529551176,0.470448824,0.059102353,0.390596348,27.27777778,7.942973523,14.08830052,27.27777778,117,1473,1.712830957,8,4.899524779
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,0.534232872,0.465767128,0.068465743,0.433492655,34.04651163,4.371584699,15.36723853,34.04651163,64,1464,1.508196721,36,4.37636612
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,0.531525573,0.468474427,0.063051146,0.36521164,48.11111111,7.852193995,22.38532204,48.11111111,34,433,1.683602771,5,4.697459584
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,0.542996232,0.457003768,0.085992464,0.398733766,26.21212121,4.855491329,12.42704502,26.21212121,42,865,1.560693642,17,4.462427746
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0.540852256,0.459147744,0.081704511,0.41804943,37.08571429,6.856702619,17.57696676,37.08571429,89,1298,1.647149461,14,4.724961479
